index,state,shap_value
554,Andhra Pradesh,42614.237661940504
555,Daman and Diu,13795.260240067348
556,Goa,148964.5523175065
557,Gujarat,272154.2192839984
558,Karnataka,-122980.52401195657
559,Kerala,-239674.2876231772
560,Lakshadweep,-122796.91122646593
561,Maharashtra,-117351.73595476995
562,Odisha,-122416.00138345174
563,Puducherry,-163692.25495535164
564,Tamil Nadu,34433.018937903675
565,West Bengal,10132.234049512026
566,Andaman and Nicobar,-62227.796137704274
567,Andhra Pradesh,-41708.453993067036
568,Daman and Diu,56935.076873571365
569,Goa,54226.08399680365
570,Gujarat,81024.09615047704
571,Karnataka,-34487.62853568352
572,Kerala,-42573.50878584683
573,Lakshadweep,-24887.05434328613
574,Maharashtra,5739.769775350137
575,Odisha,-43979.640121217024
576,Puducherry,-55710.02075010223
577,Tamil Nadu,-13345.24487658542
578,West Bengal,35319.12773293906
579,Andaman and Nicobar,-69588.63180724249
580,Andhra Pradesh,9661.50530280859
581,Arunachal Pradesh,-149554.11883123306
582,Assam,-117708.27564211395
583,Bihar,101625.0650528671
584,Chandigarh,90399.39045293644
585,Chhattisgarh,44915.06732293554
586,Dadra and Nagar Haveli,66862.41043167253
587,Daman and Diu,49211.87449300718
588,Goa,33374.532064253086
589,Gujarat,32174.002496408473
590,Haryana,55284.3333356217
591,Himachal Pradesh,-42755.69198782157
592,Jammu and Kashmir,-55801.8919637097
593,Jharkhand,-39114.98951808242
594,Karnataka,133318.6961924629
595,Kerala,47625.30430937132
596,Lakshadweep,-30016.04445945224
597,Madhya Pradesh,-121553.91857948262
598,Maharashtra,166183.6410276296
599,Manipur,-63103.987930217525
600,Meghalaya,-136078.44969766834
601,Mizoram,-44076.89507844333
602,NCT of Delhi,105094.05511537974
603,Nagaland,-120042.81544147906
604,Odisha,-134933.85872337513
605,Puducherry,-41131.62107679492
606,Punjab,39038.2036872816
607,Rajasthan,-40401.616349442396
608,Sikkim,-18629.460108803905
609,Tamil Nadu,52096.80366922638
610,Telangana,126008.6141323019
611,Tripura,33202.916950706975
612,Uttar Pradesh,217373.98831915008
613,Uttarakhand,26238.04369193742
